Process	GSsize	Group
BIOCARTA_FEEDER_PATHWAY	9	C2
BIOCARTA_PROTEASOME_PATHWAY	19	C2
BIOCARTA_KREB_PATHWAY	8	C2
ST_INTERFERON_GAMMA_PATHWAY	10	C2
ST_WNT_CA2_CYCLIC_GMP_PATHWAY	20	C2
ST_DIFFERENTIATION_PATHWAY_IN_PC12_CELLS	47	C2
ST_TUMOR_NECROSIS_FACTOR_PATHWAY	29	C2
ST_ERK1_ERK2_MAPK_PATHWAY	32	C2
ST_GA12_PATHWAY	23	C2
ST_G_ALPHA_S_PATHWAY	16	C2
ST_G_ALPHA_I_PATHWAY	36	C2
ST_IL_13_PATHWAY	7	C2
ST_P38_MAPK_PATHWAY	37	C2
ST_JAK_STAT_PATHWAY	9	C2
ST_GRANULE_CELL_SURVIVAL_PATHWAY	28	C2
ST_ADRENERGIC	37	C2
ST_INTEGRIN_SIGNALING_PATHWAY	82	C2
ST_GAQ_PATHWAY	28	C2
ST_GA13_PATHWAY	37	C2
ST_STAT3_PATHWAY	11	C2
ST_T_CELL_SIGNAL_TRANSDUCTION	45	C2
ST_TYPE_I_INTERFERON_PATHWAY	9	C2
ST_PAC1_RECEPTOR_PATHWAY	8	C2
ST_B_CELL_ANTIGEN_RECEPTOR	40	C2
ST_INTERLEUKIN_4_PATHWAY	26	C2
ST_WNT_BETA_CATENIN_PATHWAY	34	C2
ST_JNK_MAPK_PATHWAY	40	C2
ST_FAS_SIGNALING_PATHWAY	66	C2
ST_MYOCYTE_AD_PATHWAY	28	C2
ST_PHOSPHOINOSITIDE_3_KINASE_PATHWAY	38	C2
REACTOME_REMOVAL_OF_THE_FLAP_INTERMEDIATE_FROM_THE_C_STRAND	11	C2
BLANCO_MELO_SARS_COV_1_INFECTION_MCR5_CELLS_UP	12	C2
BLANCO_MELO_SARS_COV_1_INFECTION_MCR5_CELLS_DN	9	C2
BLANCO_MELO_MERS_COV_INFECTION_MCR5_CELLS_UP	295	C2
BLANCO_MELO_MERS_COV_INFECTION_MCR5_CELLS_DN	37	C2
BLANCO_MELO_INFLUENZA_A_INFECTION_A594_CELLS_UP	41	C2
BLANCO_MELO_INFLUENZA_A_INFECTION_A594_CELLS_DN	118	C2
BLANCO_MELO_HUMAN_PARAINFLUENZA_VIRUS_3_INFECTION_A594_CELLS_UP	204	C2
BLANCO_MELO_HUMAN_PARAINFLUENZA_VIRUS_3_INFECTION_A594_CELLS_DN	122	C2
BLANCO_MELO_RESPIRATORY_SYNCYTIAL_VIRUS_INFECTION_A594_CELLS_UP	285	C2
BLANCO_MELO_RESPIRATORY_SYNCYTIAL_VIRUS_INFECTION_A594_CELLS_DN	119	C2
